Battery Voltage (V),Coolant Temperature (°C),DG State (),Engine Speed (RPM),Generator Avg Frequency (Hz),Generator Avg L-L Voltage (V),Generator Avg L-N Voltage (V),Generator L1 Apparent Power (kVA),Generator L1-L2 Voltage (V),Generator L1-N Voltage (V),Generator L2 Apparent Power (kVA),Generator L2-L3 Voltage (V),Generator L2-N Voltage (V),Generator L3 Apparent Power (kVA),Generator L3-L1 Voltage (V),Generator L3-N Voltage (V),Generator Total Active Power (kW),Generator Total Apparent Power (kVA),Generator Total Reactive Power (kVAR),Load Avg Current (A),Load L1 Current (A),Load L2 Current (A),Load L3 Current (A),Lube Oil Pressure (Bar),Machine Status (),Mains Avg Frequency (Hz),Mains Avg L-L Voltage (V),Mains Avg L-N Voltage (V),Mains L1-L2 Voltage (V),Mains L1-N Voltage (V),Mains L2-L3 Voltage (V),Mains L2-N Voltage (V),Mains L3-L1 Voltage (V),Mains L3-N Voltage (V),Run Hour (Hr),Maintenance
28.4,79.94,0,1502.38,50.1,416.85,240.67,205,416.56,241,202,416.56,240,205,417.42,241,487.88,612,365916.11,844.67,850,838,846,4.92,1,0,0,0,0,0,0,0,0,0,1270.05,0
28.4,79.94,0,1502.38,50.01,417.42,241,211,417.42,241,208,417.42,241,212,417.42,241,500.7,631,375527.65,865.67,869,857,871,4.93,1,0,0,0,0,0,0,0,0,0,1270.05,0
28.48,79.94,0,1501.5,50.09,417.42,241,212,417.42,241,209,417.42,241,212,417.42,241,503.79,633,377839.8,871,876,864,873,4.94,1,0,0,0,0,0,0,0,0,0,1270.05,0
28.44,79.78,0,1500.38,50,416.85,240.67,209,416.56,241,206,416.56,240,210,417.42,241,495.78,625,371833.71,858.33,862,850,863,4.88,1,0,0,0,0,0,0,0,0,0,1270.05,0
28.4,79.78,0,1495.88,50.06,415.69,240,199,415.69,240,196,415.69,240,198,415.69,240,480,592,359998.56,833.33,840,826,834,4.93,1,0,0,0,0,0,0,0,0,0,1270.05,0
28.44,79.83,0,1501.25,50.04,416.85,240.67,199,416.56,241,195,416.56,240,199,417.42,241,473.25,593,354938.67,819.33,826,810,822,4.94,1,0,0,0,0,0,0,0,0,0,1270.05,0
28.4,79.78,0,1498.62,49.97,416.85,240.67,210,416.56,241,208,416.56,240,211,417.42,241,498.09,628,373566.53,862.33,865,856,866,4.96,1,0,0,0,0,0,0,0,0,0,1270.05,0
28.4,79.67,0,1493.5,50.1,415.69,240,205,415.69,240,203,415.69,240,207,415.69,240,499.39,615,374544,867,870,860,871,4.92,1,0,0,0,0,0,0,0,0,0,1270.05,0
28.4,79.67,0,1499.62,50.02,415.69,240,206,415.69,240,204,415.69,240,207,415.69,240,493.63,618,370224,857,860,852,859,4.94,1,0,0,0,0,0,0,0,0,0,1270.05,0
28.4,79.78,0,1499.25,49.96,416.27,240.33,190,415.69,240,188,416.56,240,192,416.56,241,457.21,571,342904.29,792.67,796,787,795,4.93,1,0,0,0,0,0,0,0,0,0,1270,0
28.36,79.78,0,1502.38,50.06,416.85,240.67,201,416.56,241,199,416.56,240,200,417.42,241,477.29,600,357971.11,826.33,830,822,827,4.94,1,0,0,0,0,0,0,0,0,0,1270,0
28.36,79.78,0,1498.75,50.05,416.85,240.67,208,416.56,241,206,416.56,240,209,417.42,241,501.94,622,376456.01,869,872,864,871,4.92,1,0,0,0,0,0,0,0,0,0,1270,0
28.36,79.72,0,1500.75,49.92,415.69,240,210,415.69,240,208,415.69,240,210,415.69,240,500.35,628,375265.44,868.67,872,863,871,4.93,1,0,0,0,0,0,0,0,0,0,1270,0
28.36,79.78,0,1496.75,49.92,415.69,240,197,415.69,240,194,415.69,240,197,415.69,240,469.44,589,352080,815,819,810,816,4.91,1,0,0,0,0,0,0,0,0,0,1270,0
28.4,79.78,0,1499.25,49.97,415.69,240,205,415.69,240,203,415.69,240,205,415.69,240,492.48,613,369360,855,857,850,858,4.96,1,0,0,0,0,0,0,0,0,0,1270,0
28.44,79.78,0,1499.25,49.91,415.69,240,205,415.69,240,202,415.69,240,205,415.69,240,489.98,611,367489.44,850.67,855,844,853,4.93,1,0,0,0,0,0,0,0,0,0,1270,0
28.44,79.72,0,1499,49.97,417.42,241,209,417.42,241,206,417.42,241,209,417.42,241,489.71,624,367285.45,846.67,850,839,851,4.96,1,0,0,0,0,0,0,0,0,0,1270,0
28.48,79.72,0,1497,49.94,415.69,240,207,415.69,240,203,415.69,240,207,415.69,240,501.5,617,376129.44,870.67,875,861,876,4.93,1,0,0,0,0,0,0,0,0,0,1269.95,0
28.48,79.72,0,1500.75,49.97,416.27,240.33,200,415.69,240,196,416.56,240,199,416.56,241,468.75,594,351556.17,812.67,817,802,819,4.88,1,0,0,0,0,0,0,0,0,0,1269.95,0
28.44,79.72,0,1500.38,49.88,416.27,240.33,207,415.69,240,203,416.56,240,207,416.56,241,492.2,617,369145.44,853.33,863,841,856,4.93,1,0,0,0,0,0,0,0,0,0,1269.95,0
28.44,79.67,0,1498.62,50.06,417.42,241,210,417.42,241,208,417.42,241,211,417.42,241,497.04,629,372777.35,859.33,860,850,868,4.97,1,0,0,0,0,0,0,0,0,0,1269.95,0
28.48,79.5,0,1501.88,49.93,416.27,240.33,211,415.69,240,208,416.56,240,211,416.56,241,502.2,630,376646.62,870.67,873,863,876,4.9,1,0,0,0,0,0,0,0,0,0,1269.95,0
28.44,79.56,0,1501.88,50.08,416.85,240.67,202,416.56,241,199,416.56,240,202,417.42,241,470.75,603,353062.89,815,817,807,821,4.93,1,0,0,0,0,0,0,0,0,0,1269.95,0
28.4,79.44,0,1499.25,49.98,416.27,240.33,206,415.69,240,203,416.56,240,207,416.56,241,493.55,616,370157.71,855.67,859,848,860,4.96,1,0,0,0,0,0,0,0,0,0,1269.95,0
28.4,79.39,0,1500.38,50.07,415.69,240,211,415.69,240,207,415.69,240,211,415.69,240,502.85,630,377136,873,875,862,882,4.97,1,0,0,0,0,0,0,0,0,0,1269.95,0
28.36,79.39,0,1499.88,49.89,416.27,240.33,209,415.69,240,206,416.56,240,209,416.56,241,500.47,624,375348.84,867.67,872,859,872,4.87,1,0,0,0,0,0,0,0,0,0,1269.9,0
28.36,79.22,0,1498.75,50,416.27,240.33,211,415.69,240,208,416.56,240,212,416.56,241,502.01,631,376499.54,870.33,873,860,878,4.91,1,0,0,0,0,0,0,0,0,0,1269.9,0
28.4,79.11,0,1499.5,50.02,415.69,240,204,415.69,240,201,415.69,240,204,415.69,240,492.67,608,369502.56,855.33,860,847,859,4.94,1,0,0,0,0,0,0,0,0,0,1269.9,0
28.4,79.11,0,1502.75,49.97,417.42,241,207,417.42,241,204,417.42,241,208,417.42,241,485.08,619,363815.05,838.67,842,829,845,4.97,1,0,0,0,0,0,0,0,0,0,1269.9,0
28.4,79.11,0,1499.5,49.98,416.85,240.67,206,416.56,241,203,416.56,240,205,417.42,241,488.46,614,366349.32,845.67,851,838,848,4.93,1,0,0,0,0,0,0,0,0,0,1269.9,0
28.4,79.06,0,1502.38,49.97,416.27,240.33,207,415.69,240,201,416.56,240,206,416.56,241,497.2,614,372896.03,862,871,849,866,4.94,1,0,0,0,0,0,0,0,0,0,1269.9,0
28.44,79.11,0,1500.38,49.93,416.85,240.67,192,416.56,241,188,416.56,240,191,417.42,241,455.73,571,341799.53,789,795,781,791,4.98,1,0,0,0,0,0,0,0,0,0,1269.9,0
28.4,79.22,0,1500.38,50.08,416.27,240.33,185,415.69,240,180,416.56,240,184,416.56,241,439.33,549,329493.87,761.67,768,751,766,4.97,1,0,0,0,0,0,0,0,0,0,1269.9,0
28.44,79.39,0,1498.75,49.94,416.27,240.33,190,415.69,240,186,416.56,240,188,416.56,241,455.29,564,341459.42,789.33,800,780,788,4.92,1,0,0,0,0,0,0,0,0,0,1269.85,0
28.44,79.44,0,1498.12,50.03,416.27,240.33,178,415.69,240,173,416.56,240,176,416.56,241,421.45,527,316083.46,730.67,740,719,733,4.97,1,0,0,0,0,0,0,0,0,0,1269.85,0
28.4,79.56,0,1499.25,50.03,415.69,240,198,415.69,240,195,415.69,240,197,415.69,240,482.3,589,361726.56,837.33,845,830,837,4.96,1,0,0,0,0,0,0,0,0,0,1269.85,0
28.48,79.67,0,1503.25,49.92,416.85,240.67,199,416.56,241,196,416.56,240,199,417.42,241,479.03,594,359270.73,829.33,834,820,834,4.94,1,0,0,0,0,0,0,0,0,0,1269.85,0
28.44,79.56,0,1502.12,50.04,416.85,240.67,199,416.56,241,195,416.56,240,198,417.42,241,473.64,592,355228.92,820,828,812,820,4.96,1,0,0,0,0,0,0,0,0,0,1269.85,0
28.4,79.56,0,1500.62,50.03,416.27,240.33,200,415.69,240,196,416.56,240,200,416.56,241,477.59,597,358187.83,828,835,818,831,4.96,1,0,0,0,0,0,0,0,0,0,1269.85,0
28.4,79.72,0,1499.88,50.06,416.85,240.67,203,416.56,241,199,416.56,240,202,417.42,241,480.38,604,360284.43,831.67,838,821,836,4.93,1,0,0,0,0,0,0,0,0,0,1269.85,0
28.36,79.72,0,1498.38,50.01,415.69,240,192,415.69,240,189,415.69,240,193,415.69,240,462.34,574,346753.44,802.67,807,793,808,4.98,1,0,0,0,0,0,0,0,0,0,1269.85,0
28.4,79.72,0,1501,50.05,416.85,240.67,200,416.56,240,194,417.42,241,198,416.56,241,471.31,593,353496.1,816,826,803,819,4.94,1,0,0,0,0,0,0,0,0,0,1269.8,0
28.36,79.72,0,1497.25,49.93,415.69,240,208,415.69,240,205,415.69,240,210,415.69,240,504,624,378000,875,878,866,881,4.92,1,0,0,0,0,0,0,0,0,0,1269.8,0
28.4,79.72,0,1498.62,50.06,417.42,241,221,417.42,241,218,417.42,241,221,417.42,241,519.6,660,389695.55,898.33,902,890,903,4.94,1,0,0,0,0,0,0,0,0,0,1269.8,0
28.36,79.72,0,1498.38,50.02,415.69,240,205,415.69,240,202,415.69,240,207,415.69,240,496.9,615,372673.44,862.67,866,853,869,5.03,1,0,0,0,0,0,0,0,0,0,1269.8,0
28.44,79.67,0,1499.62,49.97,416.85,240.67,211,416.56,241,207,416.56,240,211,417.42,241,500.59,629,375446.64,866.67,871,857,872,4.93,1,0,0,0,0,0,0,0,0,0,1269.8,0
28.44,79.56,0,1495.88,50.06,415.69,240,217,415.69,240,214,415.69,240,218,415.69,240,528,648,396001.44,916.67,922,908,920,4.93,1,0,0,0,0,0,0,0,0,0,1269.8,0
28.44,79.5,0,1500.75,50.09,416.85,240.67,218,416.56,241,215,416.56,240,219,417.42,241,520.62,653,390461.56,901.33,905,892,907,4.97,1,0,0,0,0,0,0,0,0,0,1269.8,0
28.44,79.5,0,1497.75,49.83,415.69,240,217,415.69,240,214,415.69,240,218,415.69,240,528,648,396001.44,916.67,921,907,922,4.93,1,0,0,0,0,0,0,0,0,0,1269.8,0
28.48,79.5,0,1501.88,50.02,416.85,240.67,203,416.56,241,199,416.56,240,201,417.42,241,483.26,604,362450.46,836.67,844,829,837,4.98,1,0,0,0,0,0,0,0,0,0,1269.75,0
28.44,79.5,0,1502.62,50.01,417.42,241,206,417.42,241,202,417.42,241,204,417.42,241,487.78,613,365836.55,843.33,851,836,843,4.97,1,0,0,0,0,0,0,0,0,0,1269.75,0
28.44,79.44,0,1499.5,50.02,417.42,241,219,417.42,241,216,417.42,241,218,417.42,241,518.05,653,388541.65,895.67,900,888,899,4.97,1,0,0,0,0,0,0,0,0,0,1269.75,0
28.44,79.39,0,1499.88,49.99,416.85,240.67,220,416.56,241,215,416.56,240,217,417.42,241,516.96,652,387719.37,895,900,890,895,5.01,1,0,0,0,0,0,0,0,0,0,1269.75,0
28.44,79.22,0,1500.12,50,416.85,240.67,198,416.56,241,196,416.56,240,197,417.42,241,472.48,590,354362.51,818,821,814,819,5.01,1,0,0,0,0,0,0,0,0,0,1269.75,0
28.36,79.17,0,1501,50.03,416.85,240.67,202,416.56,241,199,416.56,240,201,417.42,241,476.33,602,357251.99,824.67,830,820,824,5.03,1,0,0,0,0,0,0,0,0,0,1269.75,0
28.4,79.17,0,1502.38,50.02,417.42,241,206,417.42,241,203,417.42,241,205,417.42,241,489.52,614,367137.95,846.33,849,841,849,5.01,1,0,0,0,0,0,0,0,0,0,1269.75,0
28.4,79.06,0,1499.62,49.97,415.69,240,199,415.69,240,196,415.69,240,198,415.69,240,485.18,592,363886.56,842.33,848,837,842,4.98,1,0,0,0,0,0,0,0,0,0,1269.75,0
28.36,78.94,0,1499,49.93,415.69,240,156,415.69,240,151,415.69,240,151,415.69,240,377.47,459,283102.56,655.33,665,648,653,4.91,1,0,0,0,0,0,0,0,0,0,1269.7,0
28.4,78.89,0,1502.62,50.18,417.42,241,165,417.42,241,160,417.42,241,161,417.42,241,383.29,487,287466.25,662.67,674,657,657,4.94,1,0,0,0,0,0,0,0,0,0,1269.7,0
28.4,78.89,0,1500.38,50.13,417.42,241,165,417.42,241,160,417.42,241,163,417.42,241,374.42,487,280811.75,647.33,657,637,648,4.91,1,0,0,0,0,0,0,0,0,0,1269.7,0
28.4,78.94,0,1496.75,50.04,416.27,240.33,164,415.69,240,159,416.56,240,160,416.56,241,387.41,483,290560.41,671.67,685,662,668,4.92,1,0,0,0,0,0,0,0,0,0,1269.7,0
28.4,78.89,0,1499,50.04,416.27,240.33,162,415.69,240,156,416.56,240,159,416.56,241,382.42,478,286809.82,663,676,650,663,4.92,1,0,0,0,0,0,0,0,0,0,1269.7,0
28.44,78.89,0,1498.75,49.94,416.27,240.33,155,415.69,240,149,416.56,240,151,416.56,241,366.65,456,274987.03,635.67,651,626,630,4.94,1,0,0,0,0,0,0,0,0,0,1269.7,0
28.4,78.83,0,1501.25,50.07,416.27,240.33,161,415.69,240,154,416.56,240,157,416.56,241,373,472,279745.56,646.67,659,635,646,4.91,1,0,0,0,0,0,0,0,0,0,1269.7,0
28.4,78.78,0,1502.38,50,416.85,240.67,157,416.56,241,150,416.56,240,152,417.42,241,366.21,458,274652.6,634,650,623,629,4.93,1,0,0,0,0,0,0,0,0,0,1269.7,0
28.4,78.78,0,1498.12,49.93,416.27,240.33,154,415.69,240,147,416.56,240,150,416.56,241,364.54,451,273399.41,632,647,619,630,4.93,1,0,0,0,0,0,0,0,0,0,1269.7,0
28.36,78.83,0,1497.88,50.02,416.27,240.33,145,415.69,240,138,416.56,240,139,416.56,241,343,423,257250.67,594.67,613,583,588,4.94,1,0,0,0,0,0,0,0,0,0,1269.65,0
28.36,78.89,0,1501.5,49.94,416.85,240.67,151,416.56,241,145,416.56,240,146,417.42,241,351.57,442,263679.5,608.67,624,598,604,4.97,1,0,0,0,0,0,0,0,0,0,1269.65,0
28.36,78.89,0,1499.5,49.98,416.27,240.33,161,415.69,240,154,416.56,240,154,416.56,241,376.07,469,282051.29,652,670,643,643,4.98,1,0,0,0,0,0,0,0,0,0,1269.65,0
28.36,78.83,0,1504.12,49.95,416.85,240.67,159,416.56,241,153,416.56,240,155,417.42,241,370.06,467,277542.09,640.67,657,630,635,4.93,1,0,0,0,0,0,0,0,0,0,1269.65,0
28.36,78.78,0,1499,49.82,416.27,240.33,150,415.69,240,143,416.56,240,143,416.56,241,363.18,437,272391.46,629.67,649,620,620,4.93,1,0,0,0,0,0,0,0,0,0,1269.65,0
28.4,78.67,0,1500.12,50.08,416.85,240.67,151,416.56,241,144,416.56,240,145,417.42,241,349.84,440,262379.88,605.67,623,595,599,4.93,1,0,0,0,0,0,0,0,0,0,1269.65,0
28.4,78.61,0,1501,49.99,416.85,240.67,154,416.56,241,146,416.56,240,147,417.42,241,359.47,447,269597.09,622.33,642,613,612,4.94,1,0,0,0,0,0,0,0,0,0,1269.65,0
28.4,78.61,0,1501.62,49.99,416.85,240.67,154,416.56,241,146,416.56,240,149,417.42,241,355.04,449,266278.73,614.67,633,603,608,4.93,1,0,0,0,0,0,0,0,0,0,1269.65,0
28.44,78.5,0,1499.5,50.02,416.85,240.67,153,416.56,241,146,416.56,240,147,417.42,241,352.54,446,264398.62,610.33,629,600,602,4.94,1,0,0,0,0,0,0,0,0,0,1269.6,0
28.4,78.5,0,1498.38,49.93,416.27,240.33,138,415.69,240,132,416.56,240,133,416.56,241,325.69,403,244272.85,564.67,583,555,556,4.96,1,0,0,0,0,0,0,0,0,0,1269.6,0
28.4,78.5,0,1500.75,50.1,416.85,240.67,140,416.56,241,133,416.56,240,134,417.42,241,325.58,407,244185.23,563.67,582,555,554,4.96,1,0,0,0,0,0,0,0,0,0,1269.6,0
28.44,78.44,0,1501.5,50.08,416.85,240.67,150,416.56,241,144,416.56,240,146,417.42,241,354.65,439,265988.48,614,631,605,606,4.94,1,0,0,0,0,0,0,0,0,0,1269.6,0
28.44,78.28,0,1499.88,50,416.27,240.33,147,415.69,240,140,416.56,240,142,416.56,241,348.96,429,261719.37,605,621,595,599,4.96,1,0,0,0,0,0,0,0,0,0,1269.6,0
28.4,78.44,0,1501.25,49.92,416.27,240.33,135,415.69,240,128,416.56,240,131,416.56,241,311.27,393,233458,539.67,557,529,533,4.97,1,0,0,0,0,0,0,0,0,0,1269.6,0
28.4,78.5,0,1500.62,49.97,416.85,240.67,141,416.56,241,134,416.56,240,136,417.42,241,327.89,410,245918.05,567.67,584,557,562,4.94,1,0,0,0,0,0,0,0,0,0,1269.6,0
28.4,78.5,0,1500.38,49.85,416.27,240.33,139,415.69,240,132,416.56,240,134,416.56,241,329.92,405,247443.77,572,589,562,565,4.97,1,0,0,0,0,0,0,0,0,0,1269.6,0
28.36,78.56,0,1499.5,50.06,416.27,240.33,137,415.69,240,131,416.56,240,132,416.56,241,324.73,399,243550.42,563,580,553,556,4.96,1,0,0,0,0,0,0,0,0,0,1269.55,0
28.36,78.67,0,1499.88,49.93,416.27,240.33,127,415.69,240,120,416.56,240,122,416.56,241,302.24,369,226679.26,524,542,513,517,4.97,1,0,0,0,0,0,0,0,0,0,1269.55,0
28.36,78.78,0,1497.75,50.04,416.85,240.67,135,416.56,241,128,416.56,240,129,417.42,241,309.02,391,231765.21,535,551,524,530,4.98,1,0,0,0,0,0,0,0,0,0,1269.55,0
28.36,78.78,0,1503,50.04,416.27,240.33,139,415.69,240,132,416.56,240,136,416.56,241,323.39,407,242542.48,560.67,575,548,559,4.96,1,0,0,0,0,0,0,0,0,0,1269.55,0
28.4,78.83,0,1503.5,49.98,417.42,241,142,417.42,241,135,417.42,241,138,417.42,241,323.33,415,242494.2,559,570,544,563,4.96,1,0,0,0,0,0,0,0,0,0,1269.55,0
28.44,78.89,0,1497.25,50,416.85,240.67,154,416.56,241,148,416.56,240,151,417.42,241,362.94,453,272196.33,628.33,640,616,629,4.92,1,0,0,0,0,0,0,0,0,0,1269.55,0
28.44,78.83,0,1499.5,50.12,416.85,240.67,149,416.56,240,142,417.42,241,146,416.56,241,342.32,437,256748.2,592.67,604,576,598,4.97,1,0,0,0,0,0,0,0,0,0,1269.55,0
